Batch Size,Scaling Factor Bits,Computation,Communication,Acc Delta
1024,14,10.469047451019287,427260022,0.08039999999999999
1024,20,10.073118543624878,427260022,0.10959999999999999
1024,33,10.189597511291504,427260022,0.00010000000000001674
1024,40,10.593814039230347,427260022,0.0
1024,52,10.532123279571532,427260022,0.0
2048,14,5.232947301864624,214437402,0.144
2048,20,4.557431697845459,214437402,0.07329999999999999
2048,33,4.578483009338379,214437402,0.00010000000000001674
2048,40,4.785976219177246,214437402,0.0
2048,52,4.821588134765625,214437402,0.0
4096,14,2.1682669162750243,108157302,0.06039999999999998
4096,20,2.2298044204711913,108157302,0.060200000000000004
4096,33,2.439087677001953,108157302,0.00010000000000001674
4096,40,2.476335144042969,108157302,0.0
4096,52,2.276406669616699,108157302,0.0
