Batch Size,Scaling Factor Bits,Computation,Communication,Acc Delta
1024,14,8.833791494369507,427260022,0.002799999999999997
1024,20,7.524166663487752,427260022,0.0021000000000000046
1024,33,7.535542329152425,427260022,0.0
1024,40,7.7652937571207685,427260022,0.0
1024,52,7.826992988586426,427260022,0.0
2048,14,3.448603947957357,214437402,0.0006000000000000033
2048,20,3.414372523625692,214437402,0.0012999999999999956
2048,33,3.499487559000651,214437402,0.0
2048,40,3.620586713155111,214437402,0.0
2048,52,3.6756536960601807,214437402,0.0
4096,14,1.8369991779327393,108157302,0.018500000000000003
4096,20,1.8190481662750244,108157302,-0.05320000000000001
4096,33,1.8861846923828125,108157302,0.0
4096,40,1.9983610312143962,108157302,0.0
4096,52,1.9264828364054363,108157302,0.0
